,Time,Data,Attack,knn,Exponentially Weighted Moving Average,Cumulative Sum Algorithm,3A Alarm
562,628,27,1,0,1,0,0
563,629,22,1,0,1,0,0
564,630,25,1,0,1,0,0
565,631,61,1,0,0,0,0
566,632,72,1,0,0,0,0
567,633,100,1,0,0,0,0
568,634,73,1,0,0,0,0
569,635,69,1,0,0,0,0
570,636,72,1,0,0,0,0
571,637,24,1,0,0,0,0
572,638,18,1,0,0,0,0
573,639,21,1,0,0,0,0
574,640,17,1,0,0,0,0
575,641,13,1,0,0,0,0
576,642,14,1,0,0,0,0
577,643,13,1,0,0,0,0
578,644,13,1,0,0,0,0
579,645,13,1,0,0,0,0
580,646,16,1,0,0,1,0
581,647,143,1,0,1,1,1
582,648,246,1,0,1,1,1
583,649,509,1,0,1,1,1
584,650,709,1,1,1,1,1
585,651,878,1,1,1,1,1
586,652,1302,1,1,1,1,1
587,653,1489,1,1,1,1,1
588,654,1780,1,1,1,0,1
589,655,1687,1,1,1,0,1
590,656,1701,1,1,1,1,1
591,657,1774,1,1,1,1,1
592,658,1976,1,1,1,1,1
593,659,2194,1,1,1,1,1
594,660,2380,1,1,1,1,1
595,661,2731,1,1,1,1,1
596,662,2800,1,1,1,1,1
597,663,3482,1,1,1,0,1
598,664,3400,1,1,1,1,1
599,665,3648,1,1,1,0,1
600,666,3517,1,1,1,0,1
601,667,3502,1,1,1,1,1
602,668,3708,1,1,1,1,1
603,669,4437,1,1,1,1,1
604,670,4941,1,1,1,1,1
605,671,5534,1,1,1,1,1
606,672,5065,1,1,1,1,1
607,673,4982,1,1,1,1,1
608,674,6710,1,1,1,1,1
609,675,6148,1,1,1,1,1
610,676,6267,1,1,1,1,1
611,677,7486,1,1,1,1,1
612,678,7455,1,1,1,1,1
613,679,6580,1,1,1,1,1
614,680,6098,1,1,1,1,1
615,681,6783,1,1,1,1,1
616,682,6465,1,1,1,1,1
617,683,6804,1,1,1,1,1
618,684,7302,1,1,1,1,1
619,685,7104,1,1,1,1,1
620,686,6779,1,1,1,1,1
621,687,6355,1,1,1,1,1
622,688,6181,1,1,1,1,1
623,689,5513,1,1,1,1,1
624,690,6614,1,1,1,1,1
625,691,7370,1,1,1,1,1
626,692,6822,1,1,1,1,1
627,693,7124,1,1,1,1,1
628,694,6971,1,1,1,1,1
629,695,6217,1,1,1,1,1
630,696,6279,1,1,1,1,1
631,697,6471,1,1,1,0,1
632,698,6423,1,1,1,1,1
633,699,7173,1,1,1,1,1
634,700,7016,1,1,1,1,1
635,701,6652,1,1,1,1,1
636,702,6360,1,1,0,1,1
637,703,6017,1,1,1,1,1
638,704,4492,1,1,1,1,1
639,706,6830,1,1,1,1,1
640,707,6291,1,1,1,1,1
641,708,6335,1,1,1,1,1
642,709,6775,1,1,1,1,1
643,710,7657,1,1,1,1,1
644,711,8168,1,1,1,1,1
645,712,6557,1,1,0,1,1
646,713,7710,1,1,1,1,1
647,714,7863,1,1,1,1,1
648,715,6725,1,1,0,1,1
649,716,6355,1,1,1,1,1
650,717,7584,1,1,1,1,1
651,718,9737,1,1,1,1,1
652,719,11331,1,1,1,1,1
653,720,11785,1,1,1,1,1
654,721,10860,1,1,1,1,1
655,722,10196,1,1,1,1,1
656,723,9426,1,1,1,1,1
657,724,8893,1,1,1,0,1
658,725,8992,1,1,1,1,1
659,726,8573,1,1,1,1,1
660,727,8756,1,1,1,1,1
661,728,9389,1,1,1,1,1
662,729,8751,1,1,1,1,1
663,730,8461,1,1,0,1,1
664,731,8911,1,1,1,1,1
665,732,8273,1,1,1,1,1
666,733,7702,1,1,1,1,1
667,734,8466,1,1,0,1,1
668,735,9521,1,1,1,0,1
669,736,9533,1,1,1,1,1
670,737,9063,1,1,1,1,1
671,738,9598,1,1,1,1,1
672,739,9286,1,1,1,1,1
673,740,9630,1,1,1,1,1
674,741,10026,1,1,1,1,1
675,742,11242,1,1,1,1,1
676,743,9586,1,1,1,1,1
677,744,9250,1,1,1,1,1
678,745,9092,1,1,0,1,1
679,746,8419,1,1,1,1,1
680,747,8132,1,1,1,1,1
681,748,7190,1,1,1,1,1
682,749,6745,1,1,1,1,1
683,750,7154,1,1,1,1,1
684,751,7204,1,1,1,0,1
685,752,7075,1,1,1,1,1
686,753,7375,1,1,1,1,1
687,754,7108,1,1,1,1,1
688,755,7253,1,1,1,1,1
689,756,8233,1,1,1,1,1
690,757,6299,1,1,1,1,1
691,758,6921,1,1,1,1,1
692,759,8885,1,1,1,1,1
693,760,9129,1,1,1,1,1
694,761,8337,1,1,1,1,1
695,762,8343,1,1,1,1,1
696,763,8307,1,1,1,1,1
697,764,8201,1,1,0,1,1
698,765,7648,1,1,1,1,1
699,766,7503,1,1,1,1,1
700,767,6957,1,1,1,1,1
701,768,7307,1,1,1,1,1
702,769,8798,1,1,1,1,1
703,770,9202,1,1,1,1,1
704,771,9788,1,1,1,1,1
705,772,10060,1,1,1,1,1
706,773,9976,1,1,1,1,1
707,774,9476,1,1,1,1,1
708,775,10214,1,1,1,1,1
709,776,10739,1,1,1,1,1
710,777,9889,1,1,1,1,1
711,778,9924,1,1,1,1,1
712,779,9794,1,1,1,1,1
713,780,9988,1,1,1,1,1
714,781,9467,1,1,1,1,1
715,782,8651,1,1,1,1,1
716,783,9061,1,1,0,1,1
717,784,9844,1,1,1,1,1
718,785,8864,1,1,1,1,1
719,786,8703,1,1,1,1,1
720,787,8555,1,1,1,1,1
721,788,8533,1,1,1,1,1
722,789,8401,1,1,1,1,1
723,790,9286,1,1,1,1,1
724,791,10445,1,1,1,0,1
725,792,10351,1,1,1,1,1
726,793,10597,1,1,1,1,1
727,794,10237,1,1,1,1,1
728,795,10137,1,1,1,1,1
729,796,9502,1,1,0,1,1
730,797,10126,1,1,1,1,1
731,798,9470,1,1,0,1,1
732,799,9624,1,1,1,1,1
733,800,9885,1,1,1,1,1
734,801,9704,1,1,1,1,1
735,802,8841,1,1,1,1,1
736,803,9007,1,1,1,1,1
737,804,9126,1,1,1,1,1
738,806,6452,1,1,1,1,1
739,807,8537,1,1,1,0,1
740,808,8404,1,1,1,0,1
741,809,8355,1,1,1,1,1
742,810,8610,1,1,1,1,1
743,811,9092,1,1,1,1,1
744,812,9858,1,1,1,1,1
745,813,11531,1,1,1,1,1
746,814,11381,1,1,1,1,1
747,815,10606,1,1,1,1,1
748,816,10024,1,1,1,1,1
749,817,9665,1,1,1,0,1
750,818,9731,1,1,1,1,1
751,819,8687,1,1,1,1,1
752,820,8285,1,1,1,1,1
753,821,8336,1,1,1,1,1
754,822,9041,1,1,1,1,1
755,823,9104,1,1,1,1,1
756,824,9756,1,1,1,1,1
757,825,10853,1,1,1,1,1
758,826,8732,1,1,1,1,1
759,827,5853,1,1,1,1,1
760,828,6523,1,1,1,1,1
761,829,8071,1,1,1,1,1
762,830,8824,1,1,0,1,1
763,831,9382,1,1,1,1,1
